id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score
Shamela0023596-ara1.completed.ms005	-4183286390798745073	9	84	45	433	1599	300	الله- صلى الله عليه وآله وسلم أوتيت جوامع الكلم فإن شئت أن تعرف ذلك فتدبر قوله سبحانه خذ العفو وأمر بالعرف وأعرض عن الجاهلين الأعراف كيف جمع له بهذا الكلام كل خلق عظيم لأن في أخذ العفو صلة القاطعين والصفح عن الظالمين وإعطاء المانعين وفي الأمر بالعر--ف تقوى الله وصلة الأرحام وصون اللسان عن الكذب وغض الطرف ع---------------------ن الحرمات---------------------------------------------- وإنما سمي هذا وما أشبهه عرفا و معروفا لأن كل نفس تعرفه وكل قلب يطمئن إليه	5	-2298784228722095805	Shamela0023594-ara1.ms0699	6408128849406295719	35	105	166	534	1559	300	النبي صلى الله علي-----ه وسلم أوتيت جوامع الكلم فإن شئت أن تعرف ذلك فتدبر في هذه الآية---------------------------------------------- كيف جمع له في هذا----- كل خلق عظيم لأن في أخذ العفو صلة القاطعين والصفح عن الظالمين وإعطاء المانعين وفي الأمر بالمعروف تقوى الله وصلة الأرحام--------------------- وغض البصر وفي الإعراض عن الجاهلين الحلم وتنزيه النفس عن مماراة السفيه وعن منازعة اللجوج وإنما سمي المعروف------------- معروفا لأن كل نفس تعرفه وكل قلب يطمئن إليه	699	-6146459113630397427	264	422.0
Shamela0023596-ara1.completed.ms005	-4183286390798745073	167	208	894	1107	1599	300	على نفسه ولطفه ووحدانيته وهدى للحجة على من ضل عنه لأنه لو كان ظهور الثمرة بالماء والتربة لوجب في القياس أ--لا تختلف ---------الطعوم ولا يقع التفاضل في الجنس الواحد إذا نبت في مغرس واحد وسقي بماء واحد ولكنه صنع اللطيف الخبير	5	-2298784228722095805	Shamela0023594-ara1.ms0971	-2763730702633940683	12	52	71	277	1602	300	على نفسه وبراهينه------------------ على من ضل عنه لأنه لو كان ظهور الثمار بالماء والتراب لوجب في القياس أن لا تختلف الألوان والطعوم ولا يقع التفاضل في الجنس الواحد إذا ثبت في مغرس واحد وسقي بماء واحد ولكنه صنع اللطيف الخبير	971	-6146459113630397427	184	330.5
Shamela0023596-ara1.completed.ms006	-1755682244988668842	136	212	706	1121	1599	300	إن المنافقين في الدرك الأسفل من النار ولن تجد لهم نصيرا إلا الذين تابوا وأصلحوا واعتصموا بالله وأخلصوا دينهم لله النساء فدل على أن المنافقين شر من كفر به وأولاهم بمقته وأبعدهم من الإنابة إليه لأنه شرط عليهم في التوبة الإصلاح والاعتصام ولم يشرط ذلك على غيرهم ثم شرط الإخلاص لأن النفاق ذنب القلب والإخلاص توبة القلب ثم قال فأولئك مع المؤمنين النساء ولم يقل فأولئك هم المؤمنون ثم قال وسوف يؤت الله المؤمنين أجرا عظيما	6	-2298784228722095805	Shamela0023594-ara1.ms0427	4619386029675748448	54	83	312	478	1690	300	إن المنافقين في الدرك الأسفل من النار ولن تجد لهم نصيرا إلا الذين تابوا وأصلحوا واعتصموا بالله وأخلصوا دينهم لله فأو----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------لئك مع المؤمنين----------------------------------------- وسوف يؤت الله المؤمنين أجرا عظيما	427	-6146459113630397427	163	309.0
Shamela0023596-ara1.completed.ms006	-1755682244988668842	92	114	487	601	1599	300	ومنهم من يستمعون إليك أفأنت تسمع الصم ولو كانوا لا يعقلون ومنهم من ينظر إليك أفأنت تهدي العمي ولو كانوا لا يبصرون	6	-2298784228722095805	Shamela0023594-ara1.ms0845	7836469555532524263	196	218	1005	1119	1499	300	ومنهم من يستمعون إليك أفأنت تسمع الصم ولو كانوا لا يعقلون ومنهم من ينظر إليك أفأنت تهدي العمي ولو كانوا لا يبصرون	845	-6146459113630397427	114	228.0
Shamela0023596-ara1.completed.ms012	65665515638469271	72	131	396	708	1656	300	قوله تعالى وإما تخافن من قوم خيانة---------------------------------------------------------------------------------------------------------------------------------- فانبذ إليهم على سواء الأنفال ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------لم تستطع أن تأتي بهذه الألفاظ مؤدية عن المعنى الذي أودعته حتى تبسط مجموعها وتصل مقطوعها وتظهر مستورها فتقول إن كان بينك وبين قوم هدنة وعهد فخفت منهم خيانة ونقضا فأعلمهم أنك قد نقضت ما شرطت لهم وآذنهم بالحرب لتكون أنت وهم في العلم بالنقض على استواء	12	-2298784228722095805	Shamela0023594-ara1.ms0733	-4780072534029187220	75	205	388	1046	1556	300	قوله تعالى وإما تخافن من قوم خيانة يعني وإن علمت من قوم نقض العهد والخيانة أن يؤتمن الرجل على شيء فلا يؤدي الأمانة وسمي ناقض العهد خائنا لأنه اؤتمن بالعهد فغدر ونكث فانبذ إليهم على سواء يعني فأعلمهم بأنك قد نقضت العهد وأعلمهم بالحرب لتكون أنت وهم في العلم بالنقض على سواء وقال القتبي إذا أردت أن تعرف فضل العربية على غيرها فانظر في الآية وقد ترجموا سائر الكتب ومن أراد أن يترجم القرآن إلى لغة أخرى فلا يمكنه ذلك لأنك لو أردت أن تنقل قوله وإما تخافن من قوم خيانة لم تستطع بهذا للفظ ما لم------------------------------------- تبسط مجموعه-------------ا وتظهر مستورها فتقول إن كان بينك وبين قوم هدنة وعهد فخفت منهم خيانة ونقضا فأعلمهم أنك قد نقضت ما شرطت لهم وآذنهم بالحرب لتكون أنت وهم في العلم بالنقض على --سواء	733	-6146459113630397427	237	347.5
Shamela0023596-ara1.completed.ms014	1854985024773950961	78	147	402	784	1589	300	عن عائشة أنها قالت ثلاثة أحرف في كتاب الله هن خطأ من الكاتب ق------------------------------------------------------وله إن هذان لساحران طه وفي سورة المائدة إن الذين آمنوا والذين هادوا والصابئون المائدة وفي سورة النساء لكن الراسخون في العلم منهم والمؤمنون يؤمنون بما أنزل إليك وما أنزل من قبلك والمقيمين الصلاة والمؤتون الزكاة النساء حدثناه إسحاق بن راهويه قالوا ورويتم عن عثمان أنه نظر في المصحف فقال أرى فيه لحنا وستقيمه العرب بألسنتها	14	-2298784228722095805	Shamela0023594-ara1.ms0434	-4920630531563938704	140	176	768	970	1662	300	عن عائشة أنها قالت ثلاثة أحرف في المصحف غلط------ من الكاتب قوله تعالى والمقيمين الصلاة وقوله والصابئون والنصارى وقوله إن هذان لساحران---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- وروي-- عن عثمان أنه نظر في المصحف فقال أرى فيه لحنا وستقيمه العرب بألسنتها	434	-6146459113630397427	138	244.0
Shamela0023596-ara1.completed.ms015	4075784590761644330	98	127	495	649	1531	300	جعل الله الكعبة البيت الحرام قياما للناس والشهر الحرام والهدي والقلائد من قوله ذلك لتعلموا أن الله يعلم ما في السماوات وما في الأرض وأن الله بكل شيء عليم	15	-2298784228722095805	Shamela0023594-ara1.ms0512	-8514180780925323114	92	119	466	612	1585	300	جعل الله الكعبة البيت الحرام قياما للناس والشهر الحرام والهدي والقلائد-------- ذلك لتعلموا أن الله يعلم ما في السماوات وما في الأرض وأن الله بكل شيء عليم	512	-6146459113630397427	146	283.5
Shamela0023596-ara1.completed.ms016	8010115326832319224	32	64	168	327	1551	300	فإن كنت في شك مما أنزلنا إليك فسئل الذين يقرؤن الكتاب من قبلك لقد جاءك الحق من ربك فلا تكونن من الممترين ولا تكونن من الذين كذبوا بآيات الله فتكون من الخاسرين	16	-2298784228722095805	Shamela0023594-ara1.ms0863	-6965857523814900842	42	74	215	374	1500	300	فإن كنت في شك مما أنزلنا إليك فسئل الذين يقرؤن الكتاب من قبلك لقد جاءك الحق من ربك فلا تكونن من الممترين ولا تكونن من الذين كذبوا بآيات الله فتكون من الخاسرين	863	-6146459113630397427	159	318.0
Shamela0023596-ara1.completed.ms032	-5607647973301681266	249	278	1323	1477	1615	300	جعل الله الكعبة البيت الحرام قياما للناس والشهر الحرام والهدي والقلائد من قوله ذلك لتعلموا أن الله يعلم ما في السماوات وما في الأرض وأن الله بكل شيء عليم	32	-2298784228722095805	Shamela0023594-ara1.ms0512	-8514180780925323114	92	119	466	612	1585	300	جعل الله الكعبة البيت الحرام قياما للناس والشهر الحرام والهدي والقلائد-------- ذلك لتعلموا أن الله يعلم ما في السماوات وما في الأرض وأن الله بكل شيء عليم	512	-6146459113630397427	146	283.5
Shamela0023596-ara1.completed.ms048	6873286419949924560	87	108	449	559	1598	300	عز وجل أم أنزلنا عليهم سل---------------------طانا فهو يتكلم---------- بما كانوا به يش-----------------------------------------------------------------------------------------------------------------------------ركون ال----روم- أي أنزلنا عليهم برهانا يستدلون به فهو يدلهم	48	-2298784228722095805	Shamela0023594-ara1.ms1515	5664294586813767497	125	176	666	937	1569	300	عز وجل أم أنزلنا عليهم سلطانا يعني كتابا من السماء فهو يتكلم يعني ينطق بما كانوا به يشركون يعني بما كانوا يقولون من الشرك اللفظ لفظ الاستفهام والمراد به النفي يعني لم ينزل عليهم حجة بذلك وقال القتبي فهو يتكلم فهو من المجاز ومعناه أنزلنا عليهم برهانا يستدلون به فهو يدلهم	1515	-6146459113630397427	99	166.0
Shamela0023596-ara1.completed.ms063	3522737963144071686	50	217	293	1165	1591	300	-----هاهنا القوة وإنما أقا----------م اليمين مقام القوة لأن قوة كل شيء في ميامنه ولأهل اللغة في هذا مذ-هب آخر قد جرى الناس على اعتياده أن كان الله عز وجل أراده في هذا الموضع وهو قولهم إذا أرادوا عقوبة --------رجل خذ بيده وافعل به كذا وكذا وأكثر ما يقول السلطان والحاكم بعد وجوب الحكم خذ بيده واسفع بيده ونحوه قول الله لنسفعا بالناصية ناصية كاذبة خاطئة العلق أي لنأخذن بها ثم لنقيمنه ولنذلنه إما في الدنيا وإما في الآخرة كما قال----- تعالى فيؤخذ بالنواصي والأقدام الرحمن أي يجرون إلى النار بنواصيهم وأرجلهم ثم قال ناصية كاذبة خاطئة العلق وإنما يعني صاحبها والناس يقولون هو مشؤوم الناصية لا يريدونها دون غيرها من البدن ويقولون قد مر على رأسي كذا أي مر علي فكأنه تعالى قال لو كذب علينا في شيء مما يلقيه إليكم عنا لأمرنا بالأخذ بيده ثم عاقبناه بقطع الوتين وإلى هذا المعنى ذهب الحسن فقال في قو--------------------------------------------------------------------------------------------------------------------له تعالى لأخذ----------------------------------------------------------------------------نا منه باليمين الحاقة أي بالميامن ثم عاقبناه بقطع الوتين وهو عرق يتعلق به القلب إذا انقطع مات صاحبه	63	-2298784228722095805	Shamela0023594-ara1.ms2057	-1138454388948897349	26	131	144	681	1611	300	يعني بال-----قوة وقال القتبي إنما قام اليمين مقام القوة لأن قوة كل شيء في يمين-ه ولأهل اللغة في هذا مذاهب أخر ----------------------------------------------------------------وهو قولهم إذا أرادوا عقوبة أحد فيقولون خذ بيده وافعل به كذا وكذ-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ا قال الله تعالى--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- لو كذب علي---------------------------نا لأمرنا بالأخذ بيده ثم عاقبناه ويقال لو تقول علينا بعض الأقاويل معناه لو زاد حرفا واحدا على ما أوحيته إليه أو نقص لعاقبته وكان هو أكرم الناس علي وفي الآية تنبيه لغيره لكيلا يغيروا شيئا من كتاب الله تعالى ولا يتقولوا فيه شيئا من ذات أنفسهم ويقال باليمين يعني بالحق ويقال بالحجة ثم لقطعنا منه الوت-------------------------------------------ين وهو عرق يتعلق به القلب إذا انقطع مات صاحبه	2057	-6146459113630397427	246	349.0
